POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS)
Dealer,0.0,1.0,4.0,BHK,4900.959771,1.0,1.0,"Kharadi,Pune",18.5438,73.9438,240.0
Dealer,0.0,1.0,2.0,BHK,1294.016156,1.0,1.0,"4 Bunglows,Mumbai",19.128324,72.825408,330.0
Dealer,0.0,1.0,3.0,BHK,1536.806516,1.0,1.0,"Sector-3 Vaishali,Ghaziabad",28.6423,77.3445,100.0
Owner,0.0,0.0,2.0,BHK,1123.188406,1.0,1.0,"Kaggadasapura,Bangalore",12.9816,77.6729,62.0
Dealer,0.0,0.0,2.0,BHK,800.1939864,1.0,1.0,"Jhotwara,Jaipur",26.955346,75.73479300000001,16.5
Dealer,0.0,1.0,4.0,BHK,2655.807365,1.0,1.0,"Manpada,Maharashtra",19.239813,72.962722,300.0
Dealer,0.0,0.0,3.0,BHK,1513.775356,1.0,1.0,"JP Nagar,Bangalore",12.905368,77.580403,100.0
Owner,0.0,0.0,3.0,BHK,1280.0,1.0,1.0,"Ponekkara,Kochi",9.930471,76.271273,48.0
Owner,0.0,0.0,1.0,BHK,410.0678733,1.0,1.0,"Sector-18 Vrindavan Colony,Lucknow",28.568846,77.324966,14.5
Dealer,0.0,0.0,4.0,BHK,3429.355281,1.0,1.0,"Vasna Road,Vadodara",22.312063,72.674296,100.0
Dealer,0.0,0.0,2.0,BHK,890.0451868999999,1.0,1.0,"Sector-25 Khandeshhwar,Mumbai",28.582887,77.339935,65.0
Owner,0.0,0.0,2.0,BHK,977.7082519,1.0,1.0,"Bicholi Mardana,Indore",22.1764,75.8193,25.0
Dealer,0.0,0.0,2.0,BHK,1099.855282,1.0,1.0,"Syndicate Bank Colony,Bangalore",12.977126,77.577724,38.0
Owner,1.0,0.0,2.0,BHK,1050.241272,0.0,1.0,"Paota,Jodhpur",26.29564,73.03943000000001,37.0
,,,,,nan,,,,,,nan
Dealer,0.0,0.0,3.0,BHK,1740.139211,1.0,1.0,"Sector 19 Kharghar,Mumbai",19.048979,73.078232,180.0
Dealer,0.0,1.0,2.0,BHK,1149.131767,1.0,1.0,"Marol,Lalitpur",24.69028,78.41889,180.0
Dealer,0.0,0.0,2.0,BHK,650.1950585,1.0,1.0,"Vadavalli,Coimbatore",11.026678,76.903583,20.0
Owner,0.0,0.0,2.0,BHK,1355.01355,1.0,1.0,"Gopalpura Bypass,Jaipur",26.878068,75.77985600000001,85.0
Dealer,0.0,0.0,3.0,BHK,1800.0720030000002,1.0,1.0,"Rasanna Colony,Bangalore",12.96991,77.59796,150.0
Dealer,0.0,1.0,2.0,BHK,907.6305221,1.0,1.0,"Taloja,Maharashtra",21.56128,74.21238000000001,33.9
Dealer,0.0,0.0,3.0,BHK,1636.296021,1.0,1.0,"Budigere,Bangalore",13.141581,77.749756,88.0
Owner,0.0,0.0,2.0,BHK,900.2520706,1.0,1.0,"Tarsali,Vadodara",22.261354,73.215533,25.0
Owner,0.0,0.0,2.0,BHK,1318.0440230000002,1.0,1.0,"Doddakannelli,Bangalore",12.905538,77.694263,100.0
Dealer,0.0,1.0,3.0,BHK,1949.586451,1.0,1.0,"Sector-88 Mohali,Mohali",30.684523,76.691728,99.0
Dealer,0.0,0.0,3.0,BHK,1643.36522,1.0,1.0,"Kakkanad,Kochi",9.930471,76.271273,67.0
Dealer,0.0,0.0,3.0,BHK,1233.045623,1.0,1.0,"Kanjur Marg (East),Maharashtra",18.96,72.82,210.0
Dealer,0.0,0.0,1.0,BHK,655.0802139,1.0,1.0,"Sector 20 Ulwe,Maharashtra",18.964489,73.019574,49.0
Owner,0.0,0.0,2.0,BHK,1180.173092,1.0,1.0,"Ferrar Nagar,Bangalore",12.96991,77.59796,75.0
Owner,0.0,0.0,3.0,BHK,1200.087279,1.0,1.0,"Sahibabad,Ghaziabad",28.6711,77.3683,55.0
Dealer,0.0,0.0,4.0,BHK,6974.645114,1.0,1.0,"New Alipore,Kolkata",22.53028,88.33417,1700.0
Owner,1.0,1.0,4.0,BHK,2700.075602,0.0,1.0,"Sector-98 Noida,Noida",28.535689,77.35967099999999,250.0
Owner,0.0,0.0,2.0,BHK,850.0991782,1.0,1.0,"Ajmer Road,Jaipur",26.928785,75.828002,30.0
Dealer,1.0,1.0,4.0,BHK,2636.296531,0.0,1.0,"Konanakunte,Bangalore",12.8855,77.5638,250.0
Owner,0.0,0.0,2.0,BHK,900.0163639,1.0,1.0,"Roopena Agrahara,Bangalore",12.928575,77.58572099999999,55.0
Dealer,1.0,0.0,4.0,BHK,2472.952087,0.0,1.0,"NIBM,Pune",18.475864,73.89000899999999,160.0
Dealer,0.0,0.0,2.0,BHK,904.0656205,1.0,1.0,"Suraksha Nagar,Bangalore",20.098413,79.10786,50.7
Dealer,1.0,1.0,1.0,BHK,265.0033933,0.0,1.0,"Andheri (East),Lalitpur",19.1145,72.8712,82.0
Dealer,1.0,1.0,3.0,BHK,1570.306924,0.0,1.0,"Tonk Road,Jaipur",26.16667,75.78333,110.0
Dealer,0.0,0.0,2.0,BHK,955.4140127,1.0,1.0,"Hiranandani Estate,Lalitpur",19.255098,72.9815265,150.0
Dealer,0.0,0.0,2.0,BHK,1000.0,1.0,1.0,"Sector-53 Noida,Noida",28.593566,77.362752,60.0
Dealer,0.0,0.0,4.0,BHK,2494.747899,1.0,1.0,"Kadugodi,Bangalore",12.995285,77.766797,95.0
Owner,0.0,0.0,2.0,BHK,1150.130348,1.0,1.0,"Villivakkam Near ICF Bus Stand,Chennai",13.1101,80.2095,75.0
unknown,0.0,0.0,2.0,Studio,-1000,1.0,1.0,"Kamothe,Mumbai",999.0,-999.0,-1000000.0
Dealer,0.0,0.0,2.0,BHK,1365.001365,1.0,1.0,"Sector-11 Ghansoli,Mumbai",19.126499,72.99956,200.0
Dealer,1.0,1.0,2.0,BHK,499.6366279,0.0,0.0,"Hiranandani Estate,Maharashtra",19.255098,72.9815265,110.0
Dealer,0.0,0.0,2.0,BHK,1050.144395,1.0,1.0,"Manjalpur,Vadodara",22.271214,73.188827,40.0
Owner,0.0,0.0,1.0,BHK,476.0204688999999,1.0,1.0,"Madanandapuram,Chennai",13.020957,80.152774,40.0
Dealer,0.0,0.0,2.0,BHK,985.452839,1.0,1.0,"Hajipur,Noida",28.538774,77.366515,21.0
Dealer,0.0,0.0,2.0,BHK,1045.296167,1.0,1.0,"Sector 77 Faridabad,Faridabad",28.368269,77.37273,24.0
Dealer,1.0,1.0,2.0,BHK,1301.89498,0.0,1.0,"Sarjapur Road,Bangalore",12.86,77.786,90.0
Owner,0.0,0.0,2.0,BHK,2000.0,1.0,1.0,"Alwar Bypass Road,Bhiwadi",28.2102,76.8606,38.0
Dealer,1.0,1.0,4.0,BHK,4465.709729,0.0,1.0,"Sector-108 Noida,Noida",28.526624,77.37671800000001,280.0
Dealer,0.0,0.0,2.0,BHK,1192.0,1.0,1.0,"Nayapalli,Bhubaneswar",20.286571,85.810906,59.6
Dealer,1.0,0.0,3.0,BHK,1846.153846,0.0,0.0,"New Town,Kolkata",22.5922,88.484911,120.0
Dealer,1.0,0.0,1.0,BHK,448.5310608,0.0,1.0,"Kanjur Marg (East),Mumbai",19.221571,73.042474,120.0
Owner,0.0,0.0,2.0,BHK,750.0604887000001,1.0,1.0,"Gyan Khand 2,Ghaziabad",28.66667,77.41667,31.0
Dealer,0.0,0.0,2.0,BHK,1060.0706710000002,1.0,1.0,"Roadpali,Maharashtra",19.040066,73.115347,72.0
Dealer,0.0,1.0,3.0,BHK,1415.09434,1.0,1.0,"Electronic City Phase II,Bangalore",12.8458,77.6727,79.5
Dealer,0.0,0.0,2.0,BHK,1160.062565,1.0,1.0,"Sector-35G Kharghar,Maharashtra",18.96,72.82,89.0
Dealer,0.0,0.0,3.0,BHK,1690.024732,1.0,1.0,"Goregaon (East),Lalitpur",19.1615,72.8731,410.0
Owner,1.0,0.0,3.0,BHK,1672.762741,0.0,1.0,"Sector-143B Noida,Noida",28.495803,77.42684799999999,68.6
Owner,0.0,0.0,2.0,BHK,1315.265046,1.0,1.0,"RM Park,Valsad",20.606469,72.913465,33.0
Dealer,0.0,0.0,1.0,BHK,650.026001,1.0,1.0,"Kalyan (West),Mumbai",19.245347,73.124577,50.0
Owner,0.0,0.0,1.0,BHK,540.1755571,1.0,1.0,"Saphale,Palghar",19.585537,72.83686800000001,16.0
Dealer,0.0,0.0,3.0,BHK,1830.065359,1.0,1.0,"Suraksha Nagar,Bangalore",20.098413,79.10786,98.0
unknown,,,,Studio,-1000,,,,999.0,-999.0,-1000000.0
Dealer,0.0,0.0,3.0,BHK,1530.0,1.0,1.0,"Harlur Road,Bangalore",12.904179,77.665897,76.5
Owner,0.0,0.0,2.0,BHK,619.6377502,1.0,1.0,"Byagadadhenahalli,Bangalore",12.758604,77.700377,26.0
,,,,,nan,,,,,,nan
Dealer,0.0,0.0,3.0,BHK,1757.188498,1.0,1.0,"Action Area IID,Kolkata",40.67197199,-86.15292909,77.0
Dealer,0.0,1.0,2.0,BHK,1087.885617,1.0,1.0,"Manpada,Mumbai",19.239813,72.962722,140.0
Owner,0.0,0.0,2.0,BHK,1199.862873,1.0,1.0,"Doddakallasandra,Bangalore",12.880993,77.557654,70.0
Owner,0.0,0.0,2.0,BHK,1265.035255,1.0,1.0,"Bhuvaneshwari Nagar,Bangalore",13.033421,77.603954,61.0
Dealer,0.0,0.0,2.0,BHK,676.0453302,1.0,1.0,"Ganganagar,Kolkata",22.301625,88.242147,17.3
Owner,0.0,0.0,2.0,BHK,800.0,1.0,1.0,"Mohan Nagar,Ghaziabad",28.678014,77.38296,42.0
Owner,0.0,0.0,2.0,BHK,750.0750075,1.0,1.0,"Maheshtala,Kolkata",22.486821,88.233267,25.0
Dealer,0.0,1.0,2.0,BHK,1500.0,1.0,0.0,"Anna Nagar West,Chennai",13.086769,80.191135,150.0
Dealer,0.0,0.0,3.0,BHK,1814.285714,1.0,1.0,"Khandagiri,Bhubaneswar",20.257483,85.780142,88.9
Dealer,0.0,1.0,3.0,BHK,1195.652174,1.0,1.0,"Ghodbunder Road,Lalitpur",24.69028,78.41889,110.0
unknown,,,,Studio,-1000,,,,999.0,-999.0,-1000000.0
Owner,0.0,0.0,2.0,BHK,850.1594049,1.0,1.0,"Palghar,Palghar",19.696531,72.767746,24.0
Dealer,0.0,0.0,2.0,BHK,909.4339623,1.0,1.0,"Keelkattalai,Chennai",12.957707,80.18367099999999,48.2
Owner,1.0,0.0,2.0,BHK,910.0937672,0.0,1.0,"Ramna,Varanasi",25.248438,83.014116,33.0
unknown,0.0,0.0,3.0,Studio,-1000,1.0,1.0,"Aga Abbas Ali Road,Bangalore",999.0,-999.0,-1000000.0
Dealer,0.0,1.0,3.0,BHK,2069.857697,1.0,1.0,"Sector-107 Noida,Noida",28.546788,77.37849399999999,160.0
unknown,0.0,1.0,2.0,Studio,-1000,1.0,1.0,"Thane West,Mumbai",999.0,-999.0,-1000000.0
unknown,,,,Studio,-1000,,,,999.0,-999.0,-1000000.0
Dealer,0.0,1.0,3.0,BHK,1014.120668,1.0,0.0,"Kharadi,Maharashtra",18.5438,73.9438,79.0
Dealer,0.0,0.0,4.0,BHK,2302.158273,1.0,1.0,"Sector-70 Mohali,Mohali",30.697795000000003,76.714722,160.0
Dealer,0.0,0.0,2.0,BHK,900.0782677000001,1.0,1.0,"Sector 35I Kharghar,Lalitpur",24.69028,78.41889,69.0
Builder,1.0,0.0,2.0,BHK,898.5074627,0.0,0.0,"Jalukbari,Guwahati",26.154874,91.670312,30.1
Dealer,0.0,0.0,3.0,BHK,2235.294118,1.0,1.0,"C-Scheme,Jaipur",26.91667,75.86667,190.0
Dealer,0.0,0.0,3.0,BHK,1350.0,1.0,1.0,"Sector-50 Noida,Noida",28.5679,77.3679,81.0
